config_model_size,config_context_length,config_batch_size,config_mode,config_precision,mean_seconds,stdev_seconds,peak_reserved_gb,peak_device_used_gb,snapshot_path
small,1024,1,forward,fp32,0.02168888202868402,0.0,0.755859375,0.755859375,
small,1024,1,forward,fp32,0.027429969902732408,0.006597472376951443,0.755859375,0.755859375,
small,1024,1,forward,fp32,0.0695707003120333,0.11983024605061307,0.755859375,0.755859375,
small,1024,1,forward,fp32,0.03227780577726662,0.006400795388584679,0.755859375,0.755859375,
small,1024,1,forward,fp32,0.031079681206028907,0.007249977978099457,0.755859375,0.755859375,
small,1024,1,forward,fp32,0.032677815994247794,0.004241877987354539,0.755859375,0.755859375,
small,1024,1,forward_backward,bf16,0.05150782220298424,0.002431653900123898,2.662109375,2.662109375,
small,1024,1,forward_backward,fp32,0.06030657805968076,0.0,3.095703125,3.095703125,
small,1024,1,forward_backward,fp32,0.08070066710060927,0.004292026440015541,3.095703125,3.095703125,
small,1024,1,forward_backward,fp32,0.1411618420854211,0.1535586349666203,3.095703125,3.095703125,
small,1024,1,forward_backward,fp32,0.0933965407195501,0.0041915637444422515,3.095703125,3.095703125,
small,1024,1,forward_backward,fp32,0.09207553140586242,0.0046888083079401266,3.095703125,3.095703125,
small,1024,1,forward_backward,fp32,0.09340751288691536,0.0038925904162168262,3.095703125,3.095703125,
small,1024,1,train_step,bf16,0.05912940529815387,0.0033174557692928295,3.662109375,3.662109375,
small,1024,1,train_step,fp32,0.07450361002702266,0.0,4.103515625,4.103515625,
small,1024,1,train_step,fp32,0.09342747970367782,0.00657424050813219,4.142578125,4.142578125,
xl,128,1,forward,bf16,0.06184302709880285,0.0043659885498905536,11.4296875,11.4296875,
xl,128,1,forward,fp32,0.07203677494544536,0.0,7.6484375,7.6484375,
xl,128,1,forward,fp32,0.08839313130301889,0.004639508961391527,7.6484375,7.6484375,
xl,128,1,forward_backward,bf16,0.2040711030975217,0.0063533968274073205,19.927734375,19.927734375,
xl,128,1,forward_backward,fp32,0.20322936889715493,0.0,16.173828125,16.173828125,
xl,128,1,forward_backward,fp32,0.2721506581932772,0.0038890021596368445,16.173828125,16.173828125,
xl,128,1,train_step,bf16,0.4902670782059431,0.029465620387323282,35.69921875,35.69921875,
xl,128,1,train_step,fp32,0.38094876101240516,0.0,32.033203125,32.033203125,
xl,128,1,train_step,fp32,0.5540194837958552,0.023990510784539593,32.033203125,32.033203125,
xl,256,1,forward,bf16,0.06659130270127207,0.005291920721099529,11.4296875,11.4296875,
xl,256,1,forward,fp32,0.06682194606401026,0.0,7.685546875,7.685546875,
xl,256,1,forward,fp32,0.09040565610048361,0.003642496674215736,7.685546875,7.685546875,
xl,256,1,forward_backward,bf16,0.22621344209765085,0.0006706560527756781,20.341796875,20.341796875,
xl,256,1,forward_backward,fp32,0.17854797595646232,0.0,16.47265625,16.47265625,
xl,256,1,forward_backward,fp32,0.4060549034998985,0.004792365486454526,16.47265625,16.47265625,
xl,256,1,train_step,bf16,0.5095559372013667,0.027630277668214506,36.072265625,36.072265625,
xl,256,1,train_step,fp32,0.28390735702123493,0.0,32.08203125,32.08203125,
xl,256,1,train_step,fp32,0.6853462308994495,0.022934122523679545,32.08203125,32.08203125,
xl,512,1,forward,bf16,0.09069262319826521,0.0062303523162987465,11.73046875,11.73046875,
xl,512,1,forward,fp32,0.08882560697384179,0.0,7.763671875,7.763671875,
xl,512,1,forward,fp32,0.2176556230930146,0.0047538139241752216,7.763671875,7.763671875,
xl,512,1,forward_backward,bf16,0.29491773540212307,0.00767400156599288,22.1953125,22.1953125,
xl,512,1,forward_backward,fp32,0.45908028504345566,0.0,20.703125,20.703125,
xl,512,1,forward_backward,fp32,0.6376972516038222,0.008305190982433005,20.703125,20.703125,
xl,512,1,train_step,bf16,0.6352243714034558,0.08212031306383802,37.724609375,37.724609375,
xl,512,1,train_step,fp32,0.6383640199201182,0.0,34.357421875,34.357421875,
xl,512,1,train_step,fp32,0.9108816530904733,0.009819431341763569,34.357421875,34.357421875,
xl,1024,1,forward,bf16,0.22131193570094182,0.028674255449280598,11.8046875,11.8046875,
xl,1024,1,forward,fp32,0.3242665590951219,0.0,8.09375,8.09375,
xl,1024,1,forward,fp32,0.5008612046018243,0.05657352506409932,8.09375,8.09375,
xl,1024,1,forward_backward,bf16,0.816374834801536,0.1486260596880557,25.0390625,25.0390625,
xl,1024,1,forward_backward,fp32,0.9728642300469801,0.0,26.638671875,26.638671875,
xl,1024,1,forward_backward,fp32,1.709061378298793,0.27800232950757175,26.638671875,26.638671875,
xl,1024,1,train_step,bf16,0.5889211389992852,0.020567711964086795,42.009765625,42.009765625,
xl,1024,1,train_step,fp32,1.146809804951772,0.0,42.0859375,42.0859375,
xl,1024,1,train_step,fp32,2.2996748144942103,0.16823404501868347,42.18359375,42.18359375,
